count[times],Measured Time[s],Fx Value[N],Fy Value[N],Fz Value[N],Mx Value[Nm],My Value[Nm],Mz Value[Nm],Temp Value[degC]
1,0.000978,-0.222,-0.403,-3.174,-0.00156,-0.00365,-0.00157,0
2,0.001952,-0.205,-0.405,-3.155,-0.00148,-0.00362,-0.0016,0
3,0.002926,-0.196,-0.398,-3.148,-0.00146,-0.00365,-0.00155,0
4,0.003917,-0.208,-0.383,-3.12,-0.00149,-0.00359,-0.00145,0
5,0.004908,-0.229,-0.368,-3.13,-0.00155,-0.00368,-0.00139,0
6,0.005887,-0.218,-0.411,-3.14,-0.00148,-0.0036,-0.00139,0
7,0.006861,-0.215,-0.391,-3.137,-0.00152,-0.00373,-0.00136,0
8,0.007835,-0.205,-0.383,-3.158,-0.00154,-0.00356,-0.00162,0
9,0.008826,-0.209,-0.385,-3.114,-0.00163,-0.00348,-0.00106,0
10,0.009817,-0.209,-0.369,-3.149,-0.00154,-0.00355,-0.00139,0
11,0.010797,-0.193,-0.373,-3.115,-0.00145,-0.00353,-0.00181,0
12,0.011771,-0.206,-0.38,-3.13,-0.00152,-0.00367,-0.00155,0
13,0.012745,-0.215,-0.377,-3.158,-0.00147,-0.00356,-0.00139,0
14,0.013736,-0.21,-0.359,-3.13,-0.00172,-0.00354,-0.00146,0
15,0.014727,-0.198,-0.396,-3.172,-0.00163,-0.00364,-0.00133,0
16,0.015707,-0.188,-0.361,-3.131,-0.00169,-0.00364,-0.00152,0
17,0.016681,-0.208,-0.399,-3.157,-0.00163,-0.00356,-0.00133,0
18,0.017655,-0.193,-0.399,-3.151,-0.00161,-0.00339,-0.00104,0
19,0.018646,-0.184,-0.392,-3.157,-0.00169,-0.0035,-0.00126,0
20,0.019637,-0.198,-0.374,-3.139,-0.00177,-0.00346,-0.00118,0
21,0.020617,-0.205,-0.369,-3.202,-0.00159,-0.00361,-0.00164,0
22,0.021591,-0.222,-0.383,-3.165,-0.00182,-0.00358,-0.00167,0
23,0.022565,-0.21,-0.404,-3.16,-0.00169,-0.00346,-0.00161,0
24,0.023556,-0.188,-0.389,-3.129,-0.00178,-0.00352,-0.00125,0
25,0.024547,-0.175,-0.385,-3.129,-0.0016,-0.00342,-0.0015,0
26,0.025527,-0.189,-0.367,-3.131,-0.00167,-0.00347,-0.00151,0
27,0.026501,-0.199,-0.385,-3.168,-0.00154,-0.00359,-0.00159,0
28,0.027475,-0.219,-0.374,-3.127,-0.00166,-0.0036,-0.00174,0
29,0.028466,-0.197,-0.362,-3.136,-0.00172,-0.00336,-0.00147,0
30,0.029457,-0.197,-0.375,-3.137,-0.00167,-0.00339,-0.00112,0
31,0.030437,-0.208,-0.402,-3.132,-0.00162,-0.00348,-0.00147,0
32,0.031411,-0.213,-0.402,-3.172,-0.00169,-0.00349,-0.00128,0
33,0.032385,-0.217,-0.404,-3.147,-0.00168,-0.00354,-0.00196,0
34,0.033376,-0.197,-0.372,-3.159,-0.0016,-0.00339,-0.0017,0
35,0.034367,-0.198,-0.357,-3.135,-0.00155,-0.00342,-0.0011,0
36,0.035347,-0.21,-0.395,-3.163,-0.00168,-0.00342,-0.00178,0
37,0.036321,-0.193,-0.391,-3.159,-0.0017,-0.00341,-0.00149,0
38,0.037295,-0.201,-0.393,-3.14,-0.00166,-0.00335,-0.00152,0
39,0.038286,-0.189,-0.373,-3.16,-0.00171,-0.00339,-0.00089,0
40,0.039277,-0.204,-0.367,-3.184,-0.00153,-0.00351,-0.00112,0
41,0.040257,-0.209,-0.367,-3.134,-0.00166,-0.00333,-0.00149,0
42,0.041249,-0.206,-0.38,-3.157,-0.00161,-0.00347,-0.00163,0
43,0.042223,-0.209,-0.406,-3.142,-0.0016,-0.00337,-0.00166,0
44,0.043214,-0.196,-0.38,-3.137,-0.0017,-0.00343,-0.00162,0
45,0.044205,-0.212,-0.388,-3.122,-0.00174,-0.00345,-0.00149,0
46,0.045185,-0.198,-0.391,-3.174,-0.00177,-0.00338,-0.00115,0
47,0.046159,-0.187,-0.4,-3.142,-0.00164,-0.00328,-0.00169,0
48,0.047133,-0.19,-0.4,-3.15,-0.00144,-0.00329,-0.00189,0
49,0.048124,-0.191,-0.381,-3.13,-0.00152,-0.00318,-0.00213,0
50,0.049115,-0.193,-0.381,-3.133,-0.00164,-0.00323,-0.00228,0
51,0.050095,-0.168,-0.354,-3.148,-0.00162,-0.00333,-0.00187,0
52,0.051069,-0.186,-0.37,-3.136,-0.00166,-0.0033,-0.00167,0
53,0.052043,-0.207,-0.386,-3.139,-0.00155,-0.00339,-0.00205,0
54,0.053034,-0.198,-0.385,-3.119,-0.00164,-0.00333,-0.00192,0
55,0.054025,-0.206,-0.367,-3.125,-0.00158,-0.00335,-0.00214,0
56,0.055005,-0.2,-0.385,-3.129,-0.0016,-0.00336,-0.00235,0
57,0.055979,-0.212,-0.393,-3.134,-0.00163,-0.00344,-0.00126,0
58,0.056953,-0.212,-0.387,-3.168,-0.00168,-0.00331,-0.00137,0
59,0.057944,-0.197,-0.387,-3.131,-0.00155,-0.00323,-0.00145,0
60,0.058935,-0.193,-0.367,-3.127,-0.00169,-0.00339,-0.00154,0
61,0.059915,-0.193,-0.398,-3.122,-0.00152,-0.0034,-0.00154,0
62,0.060889,-0.209,-0.396,-3.161,-0.00148,-0.00345,-0.00211,0
63,0.061863,-0.197,-0.374,-3.142,-0.00153,-0.00344,-0.00162,0
64,0.062854,-0.171,-0.367,-3.141,-0.00157,-0.0032,-0.00176,0
65,0.063845,-0.197,-0.406,-3.149,-0.00143,-0.00328,-0.00214,0
66,0.064825,-0.207,-0.387,-3.153,-0.0015,-0.00343,-0.00216,0
67,0.065799,-0.195,-0.381,-3.136,-0.00151,-0.00334,-0.00227,0
68,0.066773,-0.199,-0.402,-3.175,-0.00147,-0.0033,-0.00177,0
69,0.067764,-0.195,-0.39,-3.144,-0.00165,-0.00333,-0.00168,0
70,0.068755,-0.185,-0.368,-3.135,-0.00147,-0.00321,-0.00226,0
71,0.069735,-0.166,-0.376,-3.145,-0.00155,-0.0032,-0.00153,0
72,0.070709,-0.17,-0.375,-3.173,-0.00147,-0.00323,-0.00237,0
73,0.071683,-0.192,-0.367,-3.138,-0.00151,-0.00314,-0.00176,0
74,0.072674,-0.2,-0.402,-3.137,-0.00156,-0.00319,-0.00209,0
75,0.073665,-0.192,-0.39,-3.14,-0.0015,-0.00317,-0.00247,0
76,0.074645,-0.193,-0.404,-3.14,-0.00138,-0.00312,-0.00188,0
77,0.075619,-0.184,-0.401,-3.152,-0.00154,-0.0031,-0.00214,0
78,0.076593,-0.217,-0.384,-3.13,-0.0015,-0.00326,-0.00195,0
79,0.077584,-0.223,-0.37,-3.151,-0.00151,-0.00328,-0.00199,0
80,0.078575,-0.218,-0.421,-3.149,-0.00162,-0.00339,-0.00164,0
81,0.079555,-0.214,-0.385,-3.142,-0.00157,-0.00339,-0.00167,0
82,0.080529,-0.185,-0.409,-3.139,-0.0016,-0.00325,-0.00197,0
83,0.081503,-0.178,-0.428,-3.119,-0.00159,-0.00323,-0.00255,0
84,0.082494,-0.195,-0.373,-3.145,-0.00158,-0.00321,-0.00155,0
85,0.083485,-0.195,-0.384,-3.14,-0.00153,-0.00333,-0.00196,0
86,0.084465,-0.212,-0.387,-3.14,-0.00158,-0.00319,-0.00183,0
87,0.085439,-0.194,-0.376,-3.115,-0.00162,-0.00324,-0.00182,0
88,0.086413,-0.18,-0.368,-3.139,-0.00164,-0.00313,-0.00178,0
89,0.087404,-0.201,-0.403,-3.153,-0.00161,-0.00328,-0.00179,0
90,0.088395,-0.179,-0.391,-3.162,-0.00147,-0.00317,-0.00167,0
91,0.089375,-0.17,-0.385,-3.154,-0.00162,-0.00316,-0.00231,0
92,0.090349,-0.171,-0.4,-3.161,-0.0016,-0.00326,-0.00192,0
93,0.091323,-0.183,-0.371,-3.158,-0.0016,-0.00334,-0.0018,0
94,0.092314,-0.187,-0.406,-3.143,-0.00147,-0.00318,-0.00213,0
95,0.093305,-0.207,-0.415,-3.13,-0.00157,-0.00329,-0.00172,0
96,0.094285,-0.181,-0.4,-3.16,-0.00155,-0.00339,-0.00191,0
97,0.095259,-0.21,-0.395,-3.156,-0.00163,-0.00338,-0.00192,0
98,0.096233,-0.186,-0.393,-3.184,-0.00145,-0.00328,-0.00211,0
99,0.097224,-0.194,-0.386,-3.143,-0.00148,-0.00329,-0.002,0
100,0.098215,-0.203,-0.405,-3.132,-0.00149,-0.00347,-0.00197,0
101,0.099195,-0.183,-0.4,-3.15,-0.0016,-0.00332,-0.00209,0
102,0.100169,-0.187,-0.396,-3.156,-0.00158,-0.0033,-0.00192,0
103,0.101143,-0.182,-0.383,-3.141,-0.00169,-0.00329,-0.00207,0
104,0.102134,-0.199,-0.375,-3.142,-0.00149,-0.00343,-0.00179,0
105,0.103125,-0.182,-0.409,-3.132,-0.00156,-0.00338,-0.00236,0
106,0.104105,-0.186,-0.397,-3.165,-0.00168,-0.00339,-0.00184,0
107,0.105079,-0.205,-0.386,-3.147,-0.00155,-0.00347,-0.00191,0
108,0.106053,-0.203,-0.404,-3.141,-0.00135,-0.00347,-0.00147,0
109,0.107044,-0.201,-0.378,-3.152,-0.00151,-0.00348,-0.00132,0
110,0.108035,-0.191,-0.388,-3.166,-0.00152,-0.00348,-0.00142,0
111,0.109015,-0.182,-0.38,-3.141,-0.0017,-0.00336,-0.00148,0
112,0.109989,-0.176,-0.407,-3.14,-0.00151,-0.00331,-0.0016,0
113,0.110963,-0.192,-0.396,-3.17,-0.00151,-0.00334,-0.00175,0
114,0.111954,-0.194,-0.377,-3.159,-0.00159,-0.0033,-0.00181,0
115,0.112945,-0.217,-0.398,-3.178,-0.00151,-0.00341,-0.00202,0
116,0.113925,-0.2,-0.394,-3.135,-0.0015,-0.00341,-0.00186,0
117,0.114899,-0.204,-0.389,-3.165,-0.00149,-0.00349,-0.00155,0
118,0.115873,-0.186,-0.39,-3.165,-0.00149,-0.00325,-0.00179,0
119,0.116864,-0.191,-0.39,-3.172,-0.00144,-0.00323,-0.00211,0
120,0.117855,-0.211,-0.394,-3.194,-0.00142,-0.00333,-0.00216,0
121,0.118835,-0.207,-0.4,-3.154,-0.00149,-0.00335,-0.00168,0
122,0.119809,-0.207,-0.411,-3.147,-0.00149,-0.00341,-0.00142,0
123,0.120801,-0.205,-0.386,-3.164,-0.00151,-0.00335,-0.00167,0
124,0.121792,-0.192,-0.399,-3.15,-0.00165,-0.00339,-0.00183,0
125,0.122783,-0.193,-0.378,-3.122,-0.00165,-0.00332,-0.00152,0
126,0.123763,-0.202,-0.382,-3.16,-0.00163,-0.00327,-0.00187,0
127,0.124737,-0.201,-0.405,-3.165,-0.00155,-0.00345,-0.00228,0
128,0.125711,-0.18,-0.399,-3.15,-0.00139,-0.00328,-0.00175,0
129,0.126702,-0.202,-0.377,-3.182,-0.00153,-0.00337,-0.0021,0
130,0.127693,-0.201,-0.378,-3.175,-0.00169,-0.00335,-0.00209,0
131,0.128673,-0.192,-0.375,-3.18,-0.00162,-0.00339,-0.00132,0
132,0.129647,-0.209,-0.396,-3.177,-0.00156,-0.00336,-0.0013,0
133,0.130639,-0.203,-0.383,-3.163,-0.00151,-0.00337,-0.00123,0
134,0.13163,-0.19,-0.388,-3.122,-0.00153,-0.00326,-0.00182,0
135,0.132621,-0.223,-0.38,-3.154,-0.00155,-0.00352,-0.00165,0
136,0.133601,-0.223,-0.381,-3.188,-0.00141,-0.00333,-0.00235,0
137,0.134575,-0.21,-0.375,-3.166,-0.0015,-0.00335,-0.00245,0
138,0.135567,-0.195,-0.395,-3.148,-0.00143,-0.00336,-0.00183,0
139,0.136558,-0.199,-0.389,-3.191,-0.00143,-0.0034,-0.0021,0
140,0.137549,-0.208,-0.392,-3.135,-0.0015,-0.00333,-0.00184,0
141,0.138529,-0.206,-0.363,-3.148,-0.00157,-0.00344,-0.00173,0
142,0.139503,-0.209,-0.361,-3.151,-0.0017,-0.00342,-0.0017,0
143,0.140495,-0.201,-0.387,-3.129,-0.0017,-0.00342,-0.00189,0
144,0.141486,-0.181,-0.369,-3.168,-0.00154,-0.00349,-0.00157,0
145,0.142477,-0.203,-0.413,-3.17,-0.00156,-0.00349,-0.00169,0
146,0.143457,-0.201,-0.395,-3.146,-0.00154,-0.0036,-0.00137,0
147,0.144431,-0.191,-0.391,-3.201,-0.00156,-0.00346,-0.00135,0
148,0.145423,-0.203,-0.421,-3.194,-0.00148,-0.00351,-0.00139,0
