count[times],Measured Time[s],Fx Value[N],Fy Value[N],Fz Value[N],Mx Value[Nm],My Value[Nm],Mz Value[Nm],Temp Value[degC]
1,0.000974,-0.122,-0.127,-2.653,0.00176,-0.00423,-0.00133,0
2,0.001966,-0.112,-0.124,-2.661,0.00149,-0.00424,-0.00157,0
3,0.002957,-0.114,-0.13,-2.647,0.00175,-0.00411,-0.00185,0
4,0.003948,-0.105,-0.091,-2.618,0.00155,-0.00405,-0.00206,0
5,0.004928,-0.117,-0.124,-2.637,0.00166,-0.004,-0.00223,0
6,0.005902,-0.12,-0.143,-2.66,0.0017,-0.00423,-0.00186,0
7,0.006876,-0.115,-0.131,-2.707,0.00169,-0.00417,-0.00176,0
8,0.007867,-0.133,-0.126,-2.664,0.00166,-0.00427,-0.00193,0
9,0.008858,-0.121,-0.117,-2.675,0.00161,-0.00418,-0.00152,0
10,0.009838,-0.111,-0.126,-2.663,0.00162,-0.00418,-0.00136,0
11,0.010812,-0.114,-0.13,-2.662,0.00178,-0.00415,-0.00192,0
12,0.011786,-0.121,-0.11,-2.664,0.00153,-0.00418,-0.00179,0
13,0.012777,-0.116,-0.108,-2.63,0.00177,-0.00421,-0.0016,0
14,0.013768,-0.119,-0.118,-2.65,0.00162,-0.00432,-0.00223,0
15,0.014748,-0.119,-0.105,-2.617,0.00157,-0.00414,-0.00201,0
16,0.015722,-0.112,-0.089,-2.612,0.00156,-0.00406,-0.0018,0
17,0.016696,-0.111,-0.116,-2.659,0.00157,-0.00412,-0.00225,0
18,0.017687,-0.105,-0.124,-2.7,0.00155,-0.00419,-0.00157,0
19,0.018678,-0.114,-0.129,-2.676,0.00174,-0.00422,-0.0017,0
20,0.019658,-0.122,-0.112,-2.65,0.00167,-0.00428,-0.00138,0
21,0.020632,-0.113,-0.131,-2.66,0.0018,-0.00418,-0.00198,0
22,0.021606,-0.107,-0.131,-2.659,0.00178,-0.00428,-0.00269,0
23,0.022597,-0.114,-0.113,-2.628,0.00168,-0.00413,-0.00194,0
24,0.023588,-0.116,-0.104,-2.647,0.00165,-0.00429,-0.00157,0
25,0.024568,-0.121,-0.121,-2.659,0.00175,-0.00424,-0.00191,0
26,0.025542,-0.091,-0.106,-2.66,0.00165,-0.00413,-0.00197,0
27,0.026516,-0.107,-0.12,-2.634,0.00153,-0.00407,-0.00204,0
28,0.027507,-0.116,-0.116,-2.622,0.00158,-0.00424,-0.00164,0
29,0.028498,-0.11,-0.121,-2.647,0.0017,-0.0041,-0.00133,0
30,0.029478,-0.119,-0.114,-2.622,0.00164,-0.00418,-0.00172,0
31,0.030452,-0.115,-0.128,-2.645,0.00165,-0.00413,-0.00196,0
32,0.031426,-0.094,-0.105,-2.664,0.00162,-0.00402,-0.00116,0
33,0.032417,-0.111,-0.098,-2.649,0.00166,-0.00406,-0.0021,0
34,0.033408,-0.103,-0.112,-2.64,0.00163,-0.00426,-0.00219,0
35,0.034388,-0.117,-0.124,-2.675,0.00167,-0.00414,-0.00186,0
