count[times],Measured Time[s],Fx Value[N],Fy Value[N],Fz Value[N],Mx Value[Nm],My Value[Nm],Mz Value[Nm],Temp Value[degC]
1,0.000974,-0.234,-0.446,-2.949,-0.00361,-0.00344,-0.00303,0
2,0.001965,-0.242,-0.447,-2.972,-0.0037,-0.00326,-0.00333,0
3,0.002956,-0.236,-0.454,-2.993,-0.00363,-0.00339,-0.0035,0
4,0.003932,-0.25,-0.454,-2.954,-0.00361,-0.00327,-0.00365,0
5,0.004924,-0.255,-0.483,-2.936,-0.0035,-0.00328,-0.00328,0
6,0.005898,-0.249,-0.469,-2.951,-0.00356,-0.00329,-0.00319,0
7,0.006889,-0.26,-0.451,-2.943,-0.00355,-0.00338,-0.00308,0
8,0.00788,-0.247,-0.43,-2.974,-0.00361,-0.00335,-0.00345,0
9,0.008856,-0.258,-0.451,-2.976,-0.00348,-0.00349,-0.00309,0
10,0.009848,-0.242,-0.478,-2.975,-0.00366,-0.00332,-0.00329,0
11,0.01084,-0.249,-0.464,-2.984,-0.00365,-0.00335,-0.00309,0
12,0.011831,-0.231,-0.453,-2.976,-0.00355,-0.00345,-0.00294,0
13,0.012822,-0.254,-0.447,-2.982,-0.00356,-0.0035,-0.00338,0
14,0.0138,-0.249,-0.467,-2.972,-0.00364,-0.0033,-0.00371,0
15,0.014792,-0.245,-0.475,-2.98,-0.00369,-0.00334,-0.00357,0
16,0.015766,-0.244,-0.467,-2.988,-0.00366,-0.0033,-0.00358,0
17,0.016757,-0.245,-0.457,-2.952,-0.00365,-0.00329,-0.0034,0
18,0.017748,-0.234,-0.422,-2.93,-0.00361,-0.00327,-0.00364,0
19,0.018728,-0.251,-0.443,-2.956,-0.00369,-0.00332,-0.00272,0
20,0.019702,-0.225,-0.462,-2.971,-0.0036,-0.00341,-0.0034,0
21,0.020676,-0.235,-0.46,-2.983,-0.00363,-0.00336,-0.00355,0
22,0.021667,-0.237,-0.453,-2.962,-0.0036,-0.00313,-0.00252,0
23,0.022658,-0.248,-0.459,-2.966,-0.00363,-0.00335,-0.00297,0
24,0.023638,-0.236,-0.46,-2.956,-0.0036,-0.00326,-0.00324,0
25,0.02463,-0.221,-0.464,-2.964,-0.00365,-0.00318,-0.00347,0
26,0.025622,-0.248,-0.45,-2.944,-0.0036,-0.00333,-0.00326,0
27,0.026613,-0.244,-0.453,-2.992,-0.00372,-0.00331,-0.00369,0
28,0.027604,-0.218,-0.472,-2.957,-0.00371,-0.00324,-0.00321,0
29,0.028584,-0.247,-0.452,-2.948,-0.00369,-0.00334,-0.0032,0
30,0.029558,-0.244,-0.464,-2.961,-0.0036,-0.00345,-0.00373,0
31,0.030532,-0.244,-0.452,-3.001,-0.00376,-0.00323,-0.00366,0
32,0.031523,-0.235,-0.454,-2.967,-0.00373,-0.00326,-0.00332,0
33,0.032514,-0.222,-0.48,-2.965,-0.00368,-0.00323,-0.00372,0
34,0.033494,-0.222,-0.458,-2.957,-0.00364,-0.00323,-0.00327,0
35,0.034468,-0.21,-0.46,-2.942,-0.0036,-0.00314,-0.0033,0
36,0.03546,-0.233,-0.481,-2.963,-0.00357,-0.0032,-0.00345,0
37,0.036451,-0.23,-0.484,-2.979,-0.0035,-0.00319,-0.00339,0
38,0.037442,-0.247,-0.457,-2.958,-0.00369,-0.00316,-0.00371,0
39,0.038422,-0.23,-0.488,-2.984,-0.00359,-0.00317,-0.00365,0
40,0.039396,-0.229,-0.455,-2.955,-0.0037,-0.00317,-0.00312,0
41,0.040388,-0.211,-0.461,-2.992,-0.00372,-0.00299,-0.00356,0
42,0.041379,-0.241,-0.438,-2.978,-0.00371,-0.00317,-0.00351,0
43,0.04237,-0.257,-0.469,-2.962,-0.00388,-0.00314,-0.00363,0
44,0.04335,-0.237,-0.481,-2.957,-0.00366,-0.0031,-0.00333,0
45,0.044324,-0.265,-0.442,-2.954,-0.00383,-0.0032,-0.00353,0
46,0.045298,-0.226,-0.465,-2.993,-0.00378,-0.00313,-0.00336,0
