count[times],Measured Time[s],Fx Value[N],Fy Value[N],Fz Value[N],Mx Value[Nm],My Value[Nm],Mz Value[Nm],Temp Value[degC]
1,0.000974,-0.168,-0.426,-2.859,-0.00233,-0.0028,-0.00161,0
2,0.001948,-0.166,-0.444,-2.84,-0.00236,-0.00283,-0.00203,0
3,0.002939,-0.154,-0.43,-2.846,-0.0023,-0.00278,-0.0019,0
4,0.00393,-0.163,-0.443,-2.853,-0.00229,-0.00283,-0.00205,0
5,0.004913,-0.173,-0.428,-2.835,-0.00242,-0.0028,-0.00183,0
6,0.005887,-0.185,-0.408,-2.888,-0.00241,-0.00279,-0.00157,0
7,0.006861,-0.176,-0.399,-2.828,-0.00222,-0.00284,-0.00183,0
8,0.007852,-0.163,-0.418,-2.81,-0.00223,-0.00283,-0.0016,0
9,0.008843,-0.195,-0.433,-2.869,-0.00232,-0.0029,-0.00157,0
10,0.009826,-0.19,-0.426,-2.845,-0.00222,-0.00282,-0.00234,0
11,0.0108,-0.18,-0.429,-2.855,-0.00222,-0.00274,-0.00166,0
12,0.011774,-0.18,-0.437,-2.831,-0.00223,-0.00294,-0.00205,0
13,0.012765,-0.194,-0.389,-2.863,-0.00235,-0.00272,-0.00159,0
14,0.013756,-0.184,-0.414,-2.845,-0.00225,-0.00284,-0.00179,0
15,0.014739,-0.173,-0.41,-2.868,-0.00239,-0.00284,-0.00151,0
16,0.015713,-0.188,-0.412,-2.873,-0.00233,-0.00263,-0.00154,0
17,0.016687,-0.182,-0.409,-2.845,-0.00231,-0.00278,-0.00191,0
18,0.017678,-0.184,-0.42,-2.859,-0.00232,-0.00277,-0.00188,0
19,0.018669,-0.188,-0.419,-2.885,-0.00226,-0.00286,-0.00165,0
20,0.019653,-0.168,-0.435,-2.878,-0.00214,-0.00276,-0.00169,0
21,0.020627,-0.183,-0.39,-2.827,-0.00221,-0.00284,-0.00135,0
22,0.021601,-0.173,-0.411,-2.843,-0.00225,-0.00277,-0.00168,0
23,0.022592,-0.188,-0.386,-2.886,-0.00224,-0.00276,-0.00179,0
24,0.023583,-0.185,-0.447,-2.863,-0.00222,-0.00272,-0.00199,0
25,0.024567,-0.196,-0.418,-2.864,-0.00219,-0.00266,-0.00168,0
26,0.025541,-0.175,-0.41,-2.838,-0.00212,-0.00267,-0.0019,0
27,0.026533,-0.184,-0.415,-2.86,-0.00209,-0.00286,-0.00143,0
28,0.027524,-0.165,-0.408,-2.863,-0.0022,-0.00266,-0.0012,0
29,0.028515,-0.143,-0.418,-2.84,-0.00231,-0.00256,-0.00159,0
30,0.029501,-0.155,-0.417,-2.818,-0.00213,-0.00268,-0.00174,0
31,0.030475,-0.157,-0.387,-2.85,-0.00211,-0.00272,-0.00176,0
32,0.031467,-0.164,-0.383,-2.869,-0.0021,-0.00274,-0.00175,0
33,0.032458,-0.151,-0.37,-2.868,-0.00199,-0.00266,-0.00161,0
34,0.033449,-0.156,-0.399,-2.877,-0.00189,-0.00247,-0.00153,0
35,0.034436,-0.138,-0.391,-2.85,-0.00197,-0.00246,-0.00161,0
36,0.03541,-0.137,-0.359,-2.847,-0.00196,-0.00243,-0.00162,0
37,0.036384,-0.157,-0.359,-2.841,-0.00202,-0.00254,-0.0012,0
38,0.037375,-0.161,-0.375,-2.853,-0.00191,-0.00254,-0.00165,0
39,0.038366,-0.156,-0.377,-2.853,-0.00187,-0.00253,-0.00167,0
40,0.039355,-0.184,-0.377,-2.846,-0.00201,-0.00259,-0.00164,0
41,0.040329,-0.155,-0.377,-2.853,-0.0021,-0.00261,-0.00155,0
42,0.041303,-0.151,-0.389,-2.862,-0.00201,-0.00245,-0.00102,0
43,0.042294,-0.154,-0.388,-2.845,-0.00195,-0.00243,-0.00133,0
44,0.043285,-0.151,-0.383,-2.846,-0.00205,-0.00251,-0.00145,0
45,0.044273,-0.143,-0.375,-2.827,-0.00212,-0.00241,-0.00145,0
46,0.045247,-0.167,-0.388,-2.866,-0.00203,-0.00246,-0.00133,0
47,0.046221,-0.189,-0.399,-2.828,-0.00199,-0.00259,-0.00088,0
48,0.047212,-0.169,-0.395,-2.858,-0.00204,-0.00263,-0.00125,0
49,0.048203,-0.183,-0.383,-2.878,-0.00207,-0.0026,-0.00153,0
50,0.049193,-0.165,-0.393,-2.85,-0.00203,-0.00258,-0.0012,0
51,0.050167,-0.171,-0.402,-2.854,-0.00213,-0.00253,-0.00162,0
52,0.051141,-0.18,-0.4,-2.837,-0.00211,-0.00245,-0.00154,0
53,0.052132,-0.165,-0.397,-2.875,-0.00213,-0.00239,-0.00175,0
54,0.053123,-0.169,-0.415,-2.852,-0.00199,-0.00248,-0.00174,0
55,0.054113,-0.152,-0.411,-2.849,-0.00203,-0.0025,-0.00177,0
56,0.055105,-0.164,-0.403,-2.844,-0.00216,-0.0026,-0.00176,0
57,0.056079,-0.192,-0.376,-2.853,-0.00201,-0.00277,-0.00211,0
58,0.05707,-0.186,-0.371,-2.87,-0.0021,-0.00275,-0.00178,0
59,0.058061,-0.175,-0.369,-2.884,-0.00207,-0.0027,-0.00227,0
60,0.059054,-0.173,-0.405,-2.891,-0.00187,-0.00265,-0.00199,0
61,0.060028,-0.198,-0.378,-2.879,-0.00196,-0.00253,-0.00187,0
62,0.061002,-0.176,-0.371,-2.835,-0.00214,-0.00252,-0.00173,0
63,0.061993,-0.162,-0.393,-2.867,-0.00194,-0.00248,-0.00209,0
64,0.062984,-0.173,-0.384,-2.86,-0.00203,-0.00265,-0.00215,0
65,0.063958,-0.15,-0.376,-2.881,-0.00208,-0.00257,-0.00188,0
66,0.06495,-0.134,-0.367,-2.888,-0.00198,-0.00251,-0.00178,0
67,0.065924,-0.168,-0.415,-2.918,-0.00195,-0.00258,-0.00214,0
68,0.066915,-0.153,-0.404,-2.902,-0.00197,-0.0025,-0.00162,0
69,0.067906,-0.153,-0.384,-2.888,-0.00199,-0.00252,-0.00172,0
70,0.06888,-0.178,-0.378,-2.888,-0.00193,-0.00254,-0.00195,0
71,0.069854,-0.178,-0.371,-2.873,-0.00203,-0.00261,-0.0015,0
72,0.070828,-0.179,-0.38,-2.875,-0.00197,-0.00262,-0.00198,0
73,0.071819,-0.165,-0.379,-2.841,-0.00186,-0.00259,-0.00199,0
74,0.07281,-0.172,-0.383,-2.852,-0.00194,-0.00251,-0.00258,0
75,0.073784,-0.192,-0.395,-2.885,-0.00198,-0.0026,-0.0028,0
76,0.074758,-0.168,-0.38,-2.851,-0.00189,-0.0026,-0.00234,0
77,0.075732,-0.186,-0.393,-2.862,-0.00184,-0.00266,-0.00191,0
78,0.076723,-0.172,-0.367,-2.882,-0.00199,-0.00252,-0.00163,0
79,0.077714,-0.164,-0.372,-2.894,-0.00195,-0.00234,-0.00241,0
80,0.078688,-0.172,-0.392,-2.868,-0.00198,-0.0025,-0.00194,0
81,0.079662,-0.16,-0.378,-2.892,-0.00188,-0.00242,-0.00167,0
82,0.080636,-0.164,-0.391,-2.889,-0.00172,-0.00253,-0.00184,0
83,0.081627,-0.19,-0.364,-2.879,-0.00175,-0.00262,-0.00177,0
84,0.082618,-0.174,-0.349,-2.854,-0.00179,-0.00258,-0.00184,0
85,0.083592,-0.173,-0.328,-2.894,-0.00173,-0.00244,-0.0018,0
86,0.084566,-0.175,-0.37,-2.905,-0.00175,-0.00257,-0.00214,0
